"Name","Importance"
"Butterscotch Pecan Blondie","39"
"Boozy Blackberry Orange Cream ","36"
"Whiskey Silk","32"
"Lemon Meringue ","32"
"Sweet Potato","30"
"Maple Bourbon Walnut ","27"
"Pumpkin","20"
"Peach (Seasonal - Summer) ","16"
"Chocolate Bourbon Pecan","16"
"Blueberry Crisp","16"
"Strawberry Blackberry","14"
"Key Lime","12"
"Bourbon Chocolate Pecan","12"
"Cherry (Crumb or Crust)","12"
"Irish Cream Brownie","12"
"Razzelberry","11"
"Amish Apple","11"
"Tres Leches","10"
"Carrot Cake","9"
"Orange Cranberry Custard ","9"
"Astronaut","9"
"Brownie Fudge (Walnut, Mint, Plain, Toffee, Triple Chocolate, Peanut Butter, M&M, Coconut)","7"
"French Coconut","6"
"Dark Chocolate Cream","6"
"Strawberry Lemonade ","5"
"Southern Oatmeal Rum Raisin ","5"
"Apple Chai","5"
"Strawberry/Rhubarb (Seasonal ??? Spring) ","5"
"Cinnamon Roll Apple","5"
"Banana Caramel Cream","4"
"Banana Cream","4"
"Pumpkin Marshmallow","4"
"Dirt","4"
"Buckeye","4"
"Cranberry Streusel ","4"
"Pumpkin Cream Cheese ","4"
"Tiramisu","4"
"Lemon Chess","4"
"Cranberry Muffin ","4"
"Oreo Cream","2"
"Chocolate Cloud","2"
"German Chocolate Pie","2"
"Peanut Chip","2"
"Mixed Berry","1"
"Red Velvet Cream ","1"
"Coconut/Banana Cream","1"
"Southern Velvet","1"
"Samoa","1"
"Aunt Audrey's Chocolate Cream ","1"
"Chocolate Honey Pecan","1"
"Coffee Cake Muffin ","1"
"Cranberry Apple ","1"
"Boston Cream","1"
"Chocolate Covered Strawberry ","1"
"Macaroon","1"
"Caramel Apple","1"
"Egg Custard","1"
"Cabernet Berry","1"
"Raspberry Muffin","1"
"Chocolate Chess","1"
"Strawberry Blueberry","1"
"Honey Pecan","1"
"Monster Cookie","1"
"Ping Colada","1"
"Nutter Butter","1"
"Blackberry","1"
"Oreo","1"
"Apple (Double Crust or Crumb)","1"
"Margarita","1"
"Banana Coconut Cream","1"
"Strawberry Shortcake ","1"
"Atlantic Beach","1"
"Buttermilk Chess","0"
"Butterscotch Cream","0"
"Cherry Almond","0"
"Lemon Cream","0"
"Pumpkin Chocolate ","0"
"Blueberry Muffin","0"
"Strawberry Sour Cream ","0"
"Reese's","0"
"Coconut Chocolate Chip Cookie","0"
"Black Bottom Mocha","0"
"Chocolate Pecan","0"
"Hazelnut Cream","0"
"S'mores","0"
"Sugar Crack","0"
"Unicorn","0"
"Funky Monkey","0"
"Shoofly","0"
"Coconut Cream","0"
"Snickers","0"
"Chocolate Chip Cookie (Nuts or M&M's) ","0"
"Apple Walnut Raisin","0"
